,"SOUTHERN FASTENER CO., INC.",,"N","182 GARBER LANE",,,"WINCHESTER","VA","226024386","United States",,,"234557",,"EIN",,"N","N",,"3","20080110",,,,,,,"N","N","N","N","N",,
,"GICHNER SHELTER SYSTEMS",,"N","490 LOCUST STREET",,,"DALLASTOWN","PA","173131902","United States",,,"F1407W",,"EIN",,"N","N",,"0","20130610",,,,,,,"N","N","N","N","N",,
,"FCR EAST RECIEVING","DAN SMITH","N","CUNNINGHAM STREET","BUILDING# 159","BAY DOOR R4","CHERRY POINT","NC","28533","United States","2524648363",,,,"EIN",,"N","N",,"3","20080110",,,,,,,"N","N","N","N","N",,
,"F.E.C. TECHNOLOGY CORPORATION",,"N","ONE DUPONT SOUTH","SUITE# 100","`","PLAINVIEW","NY","118031606","United States","5165767070",,"87X433",,"EIN",,"N","N",,"0","20140915",,,,,,,"N","N","N","N","N",,
,"N53845 PNS DET SAN DIEGO","KALEN VAN STELLE","N","140 SYLVESTER ROAD","BLDG# 511 T-SHED",,"SAN DIEGO","CA","921063521","United States","6195537379",,,,"EIN",,"N","N",,"0","20140707",,,,,,,"N","N","N","N","N",,
,"BRIAN HOOVER",,"N","101 SAN MARCO DRIVE",,,"ISLAMORADA","FL","330363305","United States",,,,,"EIN",,"N","Y",,"3","20170424",,,,,,,"N","N","N","N","N",,
,"MICRO PLASTICS INC","JAMES UNDERWOOD","N","111 INDUSTRY LANE",,,"FLIPPIN","AR","72634","United States",,,,,"EIN",,"N","N",,"3","20181127",,,,,,,"N","N","N","N","N",,
,"WIN-TECH",,"N","8520 COBB CENTER DRIVE",,,"KENNESAW","GA","301527615","United States",,,"392360",,"EIN",,"N","N",,"3","20080110",,,,,,,"N","N","N","N","N",,
,"CONTINENTAL CABLE COMPANY",,"N","253 MONUMENT ROAD",,,"HINSDALE","NH","034512033","United States",,,"040137",,"EIN",,"N","N",,"3","20080110",,,,,,,"N","N","N","N","N",,
,"TURTLE MOUNTAIN MANUFACTURING CO",,"N","HIGHWAY 5 WEST",,,"BELCOURT","ND","58316","United States","7014776406",,"554038",,"EIN",,"N","N",,"3","20080110",,,,,,,"N","N","N","N","N",,
,"MACKENZIE AIRCRAFT PARTS, INC.",,"N","1400 DECISION STREET",,,"VISTA","CA","920818553","United States",,,,,"EIN",,"N","N",,"3","20080110",,,,,,,"N","N","N","N","N",,
,"TAOS INDUSTRIES",,"N","480 PRODUCTION AVENUE",,,"MADISON","AL","357588903","United States","2567727743","2567727789",,,"EIN",,"N","N",,"3","20080110",,,,,,,"N","N","N","N","N",,
,"PROTOTYPE CASTINGS INC.","CHAD","N","4690 IRONTON STREET",,,"DENVER","CO","80239","United States","3035740060",,,,"EIN",,"N","N",,"3","20090827",,,,,,,"N","N","N","N","N",,
,"OLYMPIC AVIATION.",,"N","16818 MARQUARDT AVENUE",,,"CERRITOS","CA","907031045","United States","3106408444",,"8F3R34",,"EIN",,"N","N",,"0","20141001",,,,,,,"N","N","N","N","N",,
,"DB ROBERTS COMPANY",,"N","701 BETA DRIVE STE 9",,,"MAYFIELD","OH","44143","United States",,,"6578W1",,"EIN",,"N","N",,"3","20190104",,,,,,,"N","N","N","N","N",,
,"AME INTERNATIONAL, INC.",,"N","525 TECHNOLOGY PARK, SUITE 137",,,"LAKE MARY","FL","327467107","United States",,,"36X654",,"EIN",,"N","Y",,"3","20080110",,,,,,,"N","N","N","N","N",,
